circuit_size,mean_y_local_reg,mean_telegate_cost,mean_teledata_cost,mean_num_qpu,mean_time
30,143.83333333333334,51.55555555555556,92.27777777777777,2.0,1.7195334169599745
40,386.8333333333333,119.11111111111111,267.72222222222223,2.0,3.4438029130299888
50,734.2777777777778,315.0,419.27777777777777,3.0,4.934797022077772
60,1284.5,432.94444444444446,851.5555555555555,3.0,8.577235341072083
70,1789.7222222222222,628.4444444444445,1161.2777777777778,3.0,14.52234869533115
80,2668.1111111111113,936.5555555555555,1731.5555555555557,4.0,30.44924897617764
90,3411.4444444444443,1119.5555555555557,2291.8888888888887,4.0,39.1321243180169
100,4486.166666666667,1605.2222222222222,2880.9444444444443,5.0,53.09491618474325
