circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,11017.0,2666.0,8351.0,18.0,589.4965670108795
40,19274.0,4643.0,14631.0,23.0,1128.4407815933228
50,29583.0,7186.0,22397.0,29.0,1907.0946600437164
60,40864.0,10300.0,30564.0,35.0,2977.902088880539
70,53096.0,13735.0,39361.0,40.0,4295.019815444946
80,65543.0,17385.0,48158.0,46.0,5914.857286930084
90,78691.0,21699.0,56992.0,52.0,7946.190516233444
100,93590.0,26591.0,66999.0,58.0,10346.566770076752
