circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,290.0,18.0,272.0,8.0,4.868239402770996
40,510.0,37.0,473.0,10.0,29.593711376190186
50,749.0,34.0,715.0,12.0,54.096333265304565
60,1001.0,59.0,942.0,14.0,79.8281638622284
70,1291.0,66.0,1225.0,16.0,112.47413802146912
80,1667.0,158.0,1509.0,18.0,151.63266134262085
90,1956.0,187.0,1769.0,20.0,193.17061567306519
100,2211.0,189.0,2022.0,22.0,243.15225481987
