circuit_size,mean_y_local_reg,mean_telegate_cost,mean_teledata_cost,mean_num_qpu,mean_time
30,284.8333333333333,12.222222222222221,272.6111111111111,8.0,5.415107369422913
40,502.44444444444446,25.333333333333332,477.1111111111111,10.0,126.00391541586981
50,752.5,36.833333333333336,715.6666666666666,12.0,186.90956633620792
60,1020.5,62.44444444444444,958.0555555555555,14.0,159.17757632997302
70,1298.6666666666667,86.55555555555556,1212.111111111111,16.0,282.31996450159284
80,1603.7222222222222,124.27777777777777,1479.4444444444443,18.0,459.43526781929864
90,1958.6666666666667,185.33333333333334,1773.3333333333333,20.0,159.02775719430713
100,2313.3888888888887,249.72222222222223,2063.6666666666665,22.0,108.77216789457533
