circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,146.0,54.0,92.0,1.0,0.9189679622650146
40,378.0,106.0,272.0,1.0,1.695589542388916
50,677.0,234.0,443.0,2.0,2.7982804775238037
60,1252.0,428.0,824.0,2.0,4.201327800750732
70,1765.0,608.0,1157.0,2.0,5.589390754699707
80,2668.0,926.0,1742.0,3.0,8.463398933410645
90,3417.0,1095.0,2322.0,3.0,9.710034847259521
100,4525.0,1628.0,2897.0,4.0,13.878785371780396
