circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,13627.0,3979.0,9648.0,16.0,114.64329862594604
40,22067.0,7330.0,14737.0,22.0,226.2230634689331
50,34569.0,10707.0,23862.0,27.0,355.0808038711548
60,84062.0,16092.0,67970.0,32.0,583.5192110538483
70,99027.0,21928.0,77099.0,38.0,824.9880821704865
80,137885.0,28950.0,108935.0,43.0,1162.100166797638
90,220008.0,33411.0,186597.0,48.0,1511.4097583293915
100,254231.0,43198.0,211033.0,54.0,1939.192212820053
