circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time,run_id
30,264.0,96.0,168.0,3.0,6.465033769607544,15
40,555.0,212.0,343.0,3.0,16.01187491416931,16
50,1002.0,321.0,681.0,4.0,14.993007898330688,10
60,1621.0,579.0,1042.0,5.0,15.989142656326294,5
70,2321.0,844.0,1477.0,5.0,18.95492172241211,17
80,3203.0,1088.0,2115.0,6.0,34.45222473144531,15
90,4156.0,1370.0,2786.0,7.0,47.96405506134033,4
100,5354.0,1813.0,3541.0,8.0,56.03214073181152,16
