buffer_id,Buffer_times,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
1,-1,55,0,55,2,1.9039053916931152
2,-1,55,0,55,2,1.9039053916931152
3,-1,55,0,55,2,1.9039053916931152
4,-1,55,0,55,2,1.9039053916931152
5,-1,55,0,55,2,1.9039053916931152
6,-1,55,0,55,2,1.9039053916931152
7,-1,55,0,55,2,1.9039053916931152
8,-1,55,0,55,2,1.9039053916931152
9,-1,55,0,55,2,1.9039053916931152
10,-1,55,0,55,2,1.9039053916931152
11,-1,55,0,55,2,1.9039053916931152
12,-1,55,0,55,2,1.9039053916931152
13,-1,55,0,55,2,1.9039053916931152
14,-1,55,0,55,2,1.9039053916931152
15,-1,55,0,55,2,1.9039053916931152
16,-1,55,0,55,2,1.9039053916931152
17,-1,55,0,55,2,1.9039053916931152
18,-1,55,0,55,2,1.9039053916931152
19,-1,55,0,55,2,1.9039053916931152
20,-1,55,0,55,2,1.9039053916931152
21,-1,55,0,55,2,1.9039053916931152
22,-1,55,0,55,2,1.9039053916931152
23,-1,55,0,55,2,1.9039053916931152
24,-1,55,0,55,2,1.9039053916931152
25,-1,55,0,55,2,1.9039053916931152
26,-1,55,0,55,2,1.9039053916931152
27,-1,55,0,55,2,1.9039053916931152
28,-1,55,0,55,2,1.9039053916931152
29,-1,55,0,55,2,1.9039053916931152
30,-1,55,0,55,2,1.9039053916931152
31,-1,55,0,55,2,1.9039053916931152
32,-1,55,0,55,2,1.9039053916931152
33,-1,55,0,55,2,1.9039053916931152
34,-1,55,0,55,2,1.9039053916931152
35,-1,55,0,55,2,1.9039053916931152
36,-1,55,0,55,2,1.9039053916931152
37,-1,55,0,55,2,1.9039053916931152
38,-1,55,0,55,2,1.9039053916931152
39,-1,55,0,55,2,1.9039053916931152
40,-1,55,0,55,2,1.9039053916931152
41,-1,55,0,55,2,1.9039053916931152
42,-1,55,0,55,2,1.9039053916931152
43,-1,55,0,55,2,1.9039053916931152
44,-1,55,0,55,2,1.9039053916931152
45,-1,55,0,55,2,1.9039053916931152
46,-1,55,0,55,2,1.9039053916931152
47,-1,55,0,55,2,1.9039053916931152
48,-1,55,0,55,2,1.9039053916931152
49,-1,55,0,55,2,1.9039053916931152
50,-1,55,0,55,2,1.9039053916931152
51,-1,55,0,55,2,1.9039053916931152
52,-1,55,0,55,2,1.9039053916931152
53,-1,55,0,55,2,1.9039053916931152
54,-1,55,0,55,2,1.9039053916931152
55,-1,55,0,55,2,1.9039053916931152
56,-1,55,0,55,2,1.9039053916931152
57,-1,55,0,55,2,1.9039053916931152
58,-1,55,0,55,2,1.9039053916931152
59,-1,55,0,55,2,1.9039053916931152
60,-1,55,0,55,2,1.9039053916931152
61,-1,55,0,55,2,1.9039053916931152
62,-1,55,0,55,2,1.9039053916931152
63,-1,55,0,55,2,1.9039053916931152
64,-1,55,0,55,2,1.9039053916931152
65,-1,55,0,55,2,1.9039053916931152
66,-1,55,0,55,2,1.9039053916931152
67,-1,55,0,55,2,1.9039053916931152
68,-1,55,0,55,2,1.9039053916931152
69,-1,55,0,55,2,1.9039053916931152
70,-1,55,0,55,2,1.9039053916931152
71,-1,55,0,55,2,1.9039053916931152
72,-1,55,0,55,2,1.9039053916931152
73,-1,55,0,55,2,1.9039053916931152
74,-1,55,0,55,2,1.9039053916931152
75,-1,55,0,55,2,1.9039053916931152
76,-1,55,0,55,2,1.9039053916931152
77,0,55,0,55,2,1.9039053916931152
78,0,55,0,55,2,1.9039053916931152
79,0,55,0,55,2,1.9039053916931152
80,0,55,0,55,2,1.9039053916931152
81,0,55,0,55,2,1.9039053916931152
82,0,55,0,55,2,1.9039053916931152
83,0,55,0,55,2,1.9039053916931152
84,0,55,0,55,2,1.9039053916931152
85,0,55,0,55,2,1.9039053916931152
86,0,55,0,55,2,1.9039053916931152
87,0,55,0,55,2,1.9039053916931152
88,-1,55,0,55,2,1.9039053916931152
89,0,55,0,55,2,1.9039053916931152
90,0,55,0,55,2,1.9039053916931152
91,0,55,0,55,2,1.9039053916931152
92,0,55,0,55,2,1.9039053916931152
93,0,55,0,55,2,1.9039053916931152
94,0,55,0,55,2,1.9039053916931152
95,0,55,0,55,2,1.9039053916931152
96,0,55,0,55,2,1.9039053916931152
97,0,55,0,55,2,1.9039053916931152
98,0,55,0,55,2,1.9039053916931152
99,0,55,0,55,2,1.9039053916931152
100,0,55,0,55,2,1.9039053916931152
101,0,55,0,55,2,1.9039053916931152
102,0,55,0,55,2,1.9039053916931152
103,0,55,0,55,2,1.9039053916931152
104,-1,55,0,55,2,1.9039053916931152
105,0,55,0,55,2,1.9039053916931152
106,0,55,0,55,2,1.9039053916931152
107,0,55,0,55,2,1.9039053916931152
108,-1,55,0,55,2,1.9039053916931152
109,0,55,0,55,2,1.9039053916931152
110,0,55,0,55,2,1.9039053916931152
111,0,55,0,55,2,1.9039053916931152
112,0,55,0,55,2,1.9039053916931152
113,0,55,0,55,2,1.9039053916931152
114,0,55,0,55,2,1.9039053916931152
115,0,55,0,55,2,1.9039053916931152
116,0,55,0,55,2,1.9039053916931152
117,0,55,0,55,2,1.9039053916931152
118,0,55,0,55,2,1.9039053916931152
119,0,55,0,55,2,1.9039053916931152
120,-1,55,0,55,2,1.9039053916931152
121,0,55,0,55,2,1.9039053916931152
122,0,55,0,55,2,1.9039053916931152
123,0,55,0,55,2,1.9039053916931152
124,-1,55,0,55,2,1.9039053916931152
125,0,55,0,55,2,1.9039053916931152
126,-1,55,0,55,2,1.9039053916931152
127,0,55,0,55,2,1.9039053916931152
128,-1,55,0,55,2,1.9039053916931152
129,0,55,0,55,2,1.9039053916931152
130,0,55,0,55,2,1.9039053916931152
131,0,55,0,55,2,1.9039053916931152
132,0,55,0,55,2,1.9039053916931152
133,0,55,0,55,2,1.9039053916931152
134,0,55,0,55,2,1.9039053916931152
135,0,55,0,55,2,1.9039053916931152
136,-1,55,0,55,2,1.9039053916931152
137,0,55,0,55,2,1.9039053916931152
138,-1,55,0,55,2,1.9039053916931152
139,0,55,0,55,2,1.9039053916931152
140,-1,55,0,55,2,1.9039053916931152
141,0,55,0,55,2,1.9039053916931152
142,-1,55,0,55,2,1.9039053916931152
143,0,55,0,55,2,1.9039053916931152
144,-1,55,0,55,2,1.9039053916931152
145,0,55,0,55,2,1.9039053916931152
146,-1,55,0,55,2,1.9039053916931152
147,0,55,0,55,2,1.9039053916931152
148,-1,55,0,55,2,1.9039053916931152
149,0,55,0,55,2,1.9039053916931152
150,-1,55,0,55,2,1.9039053916931152
151,0,55,0,55,2,1.9039053916931152
152,-1,55,0,55,2,1.9039053916931152
153,0,55,0,55,2,1.9039053916931152
154,-1,55,0,55,2,1.9039053916931152
155,0,55,0,55,2,1.9039053916931152
156,-1,55,0,55,2,1.9039053916931152
157,0,55,0,55,2,1.9039053916931152
158,-1,55,0,55,2,1.9039053916931152
159,0,55,0,55,2,1.9039053916931152
160,0,55,0,55,2,1.9039053916931152
161,0,55,0,55,2,1.9039053916931152
162,-1,55,0,55,2,1.9039053916931152
163,0,55,0,55,2,1.9039053916931152
164,-1,55,0,55,2,1.9039053916931152
165,0,55,0,55,2,1.9039053916931152
166,-1,55,0,55,2,1.9039053916931152
167,0,55,0,55,2,1.9039053916931152
168,-1,55,0,55,2,1.9039053916931152
169,0,55,0,55,2,1.9039053916931152
170,-1,55,0,55,2,1.9039053916931152
171,0,55,0,55,2,1.9039053916931152
172,-1,55,0,55,2,1.9039053916931152
173,0,55,0,55,2,1.9039053916931152
174,0,55,0,55,2,1.9039053916931152
175,0,55,0,55,2,1.9039053916931152
176,0,55,0,55,2,1.9039053916931152
177,0,55,0,55,2,1.9039053916931152
178,-1,55,0,55,2,1.9039053916931152
179,0,55,0,55,2,1.9039053916931152
180,-1,55,0,55,2,1.9039053916931152
181,0,55,0,55,2,1.9039053916931152
182,0,55,0,55,2,1.9039053916931152
183,0,55,0,55,2,1.9039053916931152
184,0,55,0,55,2,1.9039053916931152
185,0,55,0,55,2,1.9039053916931152
186,-1,55,0,55,2,1.9039053916931152
187,0,55,0,55,2,1.9039053916931152
188,-1,55,0,55,2,1.9039053916931152
189,0,55,0,55,2,1.9039053916931152
190,0,55,0,55,2,1.9039053916931152
191,0,55,0,55,2,1.9039053916931152
192,-1,55,0,55,2,1.9039053916931152
193,0,55,0,55,2,1.9039053916931152
194,-1,55,0,55,2,1.9039053916931152
195,-1,55,0,55,2,1.9039053916931152
196,-1,55,0,55,2,1.9039053916931152
197,-1,55,0,55,2,1.9039053916931152
198,-1,55,0,55,2,1.9039053916931152
199,-1,55,0,55,2,1.9039053916931152
200,-1,55,0,55,2,1.9039053916931152
201,0,55,0,55,2,1.9039053916931152
202,-1,55,0,55,2,1.9039053916931152
203,-1,55,0,55,2,1.9039053916931152
204,-1,55,0,55,2,1.9039053916931152
205,0,55,0,55,2,1.9039053916931152
206,0,55,0,55,2,1.9039053916931152
207,0,55,0,55,2,1.9039053916931152
208,-1,55,0,55,2,1.9039053916931152
209,0,55,0,55,2,1.9039053916931152
210,-1,55,0,55,2,1.9039053916931152
