circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time,run_id
30,520.0,222.0,298.0,8.0,10.290138006210327,10
40,966.0,385.0,581.0,10.0,22.2728488445282,10
50,1554.0,561.0,993.0,13.0,34.50753736495972,9
60,2389.0,893.0,1496.0,15.0,22.0793514251709,15
70,3294.0,1183.0,2111.0,18.0,34.18164944648743,11
80,4463.0,1550.0,2913.0,20.0,36.099323987960815,11
90,5708.0,1968.0,3740.0,23.0,84.0451066493988,15
100,7161.0,2531.0,4630.0,25.0,64.83700132369995,6
