circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,505.0,208.0,297.0,8.0,4.721330642700195
40,946.0,371.0,575.0,10.0,22.04069948196411
50,1511.0,535.0,976.0,13.0,34.717806577682495
60,2353.0,854.0,1499.0,15.0,39.73712944984436
70,3268.0,1211.0,2057.0,18.0,30.841049194335938
80,4450.0,1574.0,2876.0,20.0,34.42637801170349
90,5668.0,2017.0,3651.0,23.0,117.75969195365906
100,7090.0,2543.0,4547.0,25.0,67.85669827461243
