buffer_id,Buffer_times,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
1,2.0,3248.0,1047.0,2201.0,6,11.10595440864563
2,6.0,3248.0,1047.0,2201.0,6,11.10595440864563
3,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
4,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
5,4.0,3248.0,1047.0,2201.0,6,11.10595440864563
6,2.0,3248.0,1047.0,2201.0,6,11.10595440864563
7,0.0,3248.0,1047.0,2201.0,6,11.10595440864563
8,2.0,3248.0,1047.0,2201.0,6,11.10595440864563
9,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
10,0.0,3248.0,1047.0,2201.0,6,11.10595440864563
11,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
12,4.0,3248.0,1047.0,2201.0,6,11.10595440864563
13,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
14,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
15,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
16,0.0,3248.0,1047.0,2201.0,6,11.10595440864563
17,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
18,5.0,3248.0,1047.0,2201.0,6,11.10595440864563
19,3.0,3248.0,1047.0,2201.0,6,11.10595440864563
20,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
21,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
22,0.0,3248.0,1047.0,2201.0,6,11.10595440864563
23,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
24,4.0,3248.0,1047.0,2201.0,6,11.10595440864563
25,2.0,3248.0,1047.0,2201.0,6,11.10595440864563
26,0.0,3248.0,1047.0,2201.0,6,11.10595440864563
27,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
28,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
29,0.0,3248.0,1047.0,2201.0,6,11.10595440864563
30,3.0,3248.0,1047.0,2201.0,6,11.10595440864563
31,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
32,0.0,3248.0,1047.0,2201.0,6,11.10595440864563
33,3.0,3248.0,1047.0,2201.0,6,11.10595440864563
34,3.0,3248.0,1047.0,2201.0,6,11.10595440864563
35,6.0,3248.0,1047.0,2201.0,6,11.10595440864563
36,3.0,3248.0,1047.0,2201.0,6,11.10595440864563
37,4.0,3248.0,1047.0,2201.0,6,11.10595440864563
38,0.0,3248.0,1047.0,2201.0,6,11.10595440864563
39,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
40,2.0,3248.0,1047.0,2201.0,6,11.10595440864563
41,5.0,3248.0,1047.0,2201.0,6,11.10595440864563
42,1.0,3248.0,1047.0,2201.0,6,11.10595440864563
43,8.0,3248.0,1047.0,2201.0,6,11.10595440864563
