circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,61.0,0.0,61.0,2.0,2.1567094326019287
50,166.0,3.0,163.0,3.0,5.767799139022827
70,303.0,0.0,303.0,4.0,11.39567494392395
90,424.0,0.0,424.0,5.0,18.449459552764893
110,565.0,0.0,565.0,6.0,27.746045351028442
130,683.0,3.0,680.0,7.0,39.06489706039429
150,828.0,0.0,828.0,8.0,56.48222541809082
170,956.0,0.0,956.0,9.0,73.12471008300781
30,61.0,0.0,61.0,2.0,2.478553295135498
50,165.0,3.0,162.0,3.0,6.6269567012786865
70,303.0,0.0,303.0,4.0,12.425302743911743
90,424.0,0.0,424.0,5.0,21.085723638534546
110,565.0,0.0,565.0,6.0,30.308599948883057
130,682.0,3.0,679.0,7.0,41.223676681518555
150,828.0,0.0,828.0,8.0,53.89134407043457
170,956.0,0.0,956.0,9.0,71.09401988983154
