circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,515.0,200.0,315.0,7.0,2.9247488975524902
40,991.0,445.0,546.0,9.0,5.516907215118408
50,1558.0,701.0,857.0,11.0,7.91635799407959
60,2473.0,1063.0,1410.0,13.0,11.634742498397827
70,3391.0,1509.0,1882.0,15.0,15.152191877365112
