circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,654.0,0.0,654.0,2.0,8.321353197097778
40,587.0,199.0,388.0,3.0,8.48829698562622
50,1022.0,330.0,692.0,4.0,24.106313228607178
60,4311.0,0.0,4311.0,4.0,22.455291509628296
70,2328.0,871.0,1457.0,5.0,23.138466119766235
80,3242.0,1123.0,2119.0,6.0,38.87124466896057
90,11204.0,0.0,11204.0,6.0,70.14936542510986
100,5459.0,1987.0,3472.0,7.0,37.5415313243866
