circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time,run_id
30,265.0,90.0,175.0,3.0,8.510456800460815,7
40,562.0,210.0,352.0,3.0,16.890737295150757,4
50,1014.0,341.0,673.0,4.0,13.076239824295044,16
60,1653.0,604.0,1049.0,5.0,43.37743878364563,0
70,2304.0,786.0,1518.0,5.0,43.38889336585999,4
80,3248.0,1125.0,2123.0,6.0,26.494829416275024,5
90,4212.0,1447.0,2765.0,7.0,38.22382688522339,15
100,5332.0,1913.0,3419.0,8.0,55.028539180755615,11
