iteration,PG_cost,PGGL_cost
265,66046.0,69716.0
266,66046.0,69709.0
267,66043.0,69699.0
268,66043.0,69699.0
269,66041.0,69696.0
270,66041.0,69693.0
271,66040.0,69694.0
272,66039.0,69687.0
273,66036.0,69682.0
274,66034.0,69676.0
275,66030.0,69675.0
276,66029.0,69676.0
277,66027.0,69671.0
278,66026.0,69665.0
279,66021.0,69671.0
280,66020.0,69660.0
281,66017.0,69654.0
282,66017.0,69660.0
283,66015.0,69654.0
284,66014.0,69648.0
285,66012.0,69653.0
286,66015.0,69642.0
287,66011.0,69638.0
288,66005.0,69633.0
289,66004.0,69627.0
290,66005.0,69625.0
291,66001.0,69620.0
292,65998.0,69622.0
293,65999.0,69613.0
294,66000.0,69613.0
295,66000.0,69612.0
296,65995.0,69610.0
297,65993.0,69606.0
298,65993.0,69606.0
299,65991.0,69605.0
300,65988.0,69600.0
301,65990.0,69597.0
302,65985.0,69587.0
303,65983.0,69587.0
304,65980.0,69589.0
305,65976.0,69586.0
306,65977.0,69584.0
307,65973.0,69585.0
308,65973.0,69583.0
309,65969.0,69581.0
310,65970.0,69584.0
311,65965.0,69583.0
312,65961.0,69581.0
313,65960.0,69577.0
314,65962.0,69572.0
315,65958.0,69573.0
316,65955.0,69571.0
317,65952.0,69567.0
318,65949.0,69567.0
319,65952.0,69567.0
320,65947.0,69567.0
321,65948.0,69567.0
322,65944.0,69565.0
323,65943.0,69563.0
324,65941.0,69561.0
325,65937.0,69559.0
326,65937.0,69557.0
327,65935.0,69553.0
328,65934.0,69552.0
329,65932.0,69551.0
330,65930.0,69552.0
331,65930.0,69552.0
332,65929.0,69551.0
333,65929.0,69551.0
334,65925.0,69551.0
335,65924.0,69547.0
336,65924.0,69546.0
337,65922.0,69546.0
338,65920.0,69546.0
339,65920.0,69544.0
340,65918.0,69541.0
341,65920.0,69544.0
342,65918.0,69538.0
343,65917.0,69533.0
344,65916.0,69529.0
345,65914.0,69530.0
346,65915.0,69531.0
347,65914.0,69527.0
348,65910.0,69527.0
349,65908.0,69526.0
350,65908.0,69523.0
351,65907.0,69520.0
352,65907.0,69520.0
353,65905.0,69518.0
354,65903.0,69519.0
355,65902.0,69517.0
356,65899.0,69512.0
357,65898.0,69510.0
358,65898.0,69504.0
359,65898.0,69504.0
360,65895.0,69501.0
361,65895.0,69500.0
362,65895.0,69500.0
363,65897.0,69496.0
364,65897.0,69496.0
365,65896.0,69495.0
366,65893.0,69492.0
367,65893.0,69489.0
368,65897.0,69492.0
369,65896.0,69490.0
370,65894.0,69487.0
371,65893.0,69484.0
372,65893.0,69485.0
373,65891.0,69483.0
374,65890.0,69481.0
375,65890.0,69481.0
376,65891.0,69482.0
377,65891.0,69478.0
378,65888.0,69478.0
379,65883.0,69478.0
380,65881.0,69478.0
381,65881.0,69476.0
382,65879.0,69474.0
383,65878.0,69475.0
384,65877.0,69472.0
385,65877.0,69473.0
386,65879.0,69469.0
387,65876.0,69469.0
388,65874.0,69464.0
389,65873.0,69459.0
390,65870.0,69459.0
391,65870.0,69459.0
392,65868.0,69458.0
393,65869.0,69456.0
394,65865.0,69459.0
395,65864.0,69457.0
396,65865.0,69456.0
397,65865.0,69454.0
398,65865.0,69452.0
399,65861.0,69452.0
400,65857.0,69452.0
401,65855.0,75191.0
402,65855.0,73931.0
403,65855.0,73639.0
404,65855.0,73522.0
405,65854.0,73438.0
406,65855.0,73365.0
407,65853.0,73328.0
408,65853.0,73289.0
409,65852.0,73266.0
410,65850.0,73241.0
411,65850.0,73203.0
412,65850.0,73178.0
413,65849.0,73159.0
414,65849.0,73142.0
415,65849.0,73128.0
416,65849.0,73123.0
417,65846.0,73114.0
418,65846.0,73103.0
419,65842.0,73098.0
420,65841.0,73094.0
421,65840.0,73080.0
422,65840.0,73074.0
423,65840.0,73066.0
424,65839.0,73056.0
425,65839.0,73047.0
426,65839.0,73045.0
427,65839.0,73032.0
428,65837.0,73031.0
429,65837.0,73026.0
430,65837.0,73023.0
431,65835.0,73014.0
432,65833.0,73011.0
433,65833.0,73006.0
434,65834.0,73001.0
435,65832.0,72992.0
436,65832.0,72989.0
437,65832.0,72982.0
438,65830.0,72975.0
439,65826.0,72977.0
440,65825.0,72971.0
441,65823.0,72969.0
442,65823.0,72961.0
443,65826.0,72953.0
444,65823.0,72953.0
445,65824.0,72943.0
446,65821.0,72943.0
447,65820.0,72936.0
448,65820.0,72923.0
449,65820.0,72921.0
450,65820.0,72916.0
451,65819.0,72917.0
452,65819.0,72915.0
453,65818.0,72909.0
454,65818.0,72908.0
455,65819.0,72905.0
456,65820.0,72905.0
457,65817.0,72901.0
458,65816.0,72900.0
459,65816.0,72893.0
460,65817.0,72892.0
461,65817.0,72889.0
462,65815.0,72886.0
463,65813.0,72884.0
464,65814.0,72882.0
465,65813.0,72881.0
466,65811.0,72879.0
467,65811.0,72879.0
468,65810.0,72880.0
469,65810.0,72875.0
470,65809.0,72870.0
471,65809.0,72868.0
472,65807.0,72868.0
473,65805.0,72860.0
474,65805.0,72859.0
475,65805.0,72859.0
476,65805.0,72856.0
477,65804.0,72852.0
478,65804.0,72852.0
479,65804.0,72845.0
480,65804.0,72841.0
481,65801.0,72837.0
482,65800.0,72835.0
483,65799.0,72836.0
484,65799.0,72838.0
485,65799.0,72834.0
486,65799.0,72828.0
487,65799.0,72829.0
488,65799.0,72827.0
489,65799.0,72827.0
490,65799.0,72824.0
491,65799.0,72821.0
492,65800.0,72818.0
493,65799.0,72817.0
494,65797.0,72818.0
495,65797.0,72811.0
496,65797.0,72809.0
497,65797.0,72809.0
498,65796.0,72807.0
499,65794.0,72810.0
500,65794.0,72806.0
501,65794.0,72805.0
502,65794.0,72801.0
503,65794.0,72797.0
