iteration,PG_cost,PGGL_cost
0,36523.0,36523.0
1,28519.0,27955.0
2,26233.0,26152.0
3,25054.0,25106.0
4,24224.0,24443.0
5,23634.0,23910.0
6,23225.0,23478.0
7,22856.0,23122.0
8,22549.0,22812.0
9,22321.0,22540.0
10,22099.0,22295.0
11,21868.0,22114.0
12,21713.0,21920.0
13,21561.0,21767.0
14,21410.0,21601.0
15,21275.0,21464.0
16,21136.0,21329.0
17,21034.0,21184.0
18,20903.0,21065.0
19,20826.0,20928.0
20,20719.0,20816.0
21,20610.0,20740.0
22,20524.0,20685.0
23,20461.0,20604.0
24,20388.0,20518.0
25,20312.0,20445.0
26,20237.0,20386.0
27,20181.0,20329.0
28,20125.0,20253.0
29,20080.0,20190.0
30,20026.0,20108.0
31,19976.0,20050.0
32,19932.0,19975.0
33,19873.0,19914.0
34,19826.0,19852.0
35,19786.0,19775.0
36,19735.0,19723.0
37,19703.0,19677.0
38,19649.0,19624.0
39,19608.0,19597.0
40,19577.0,19545.0
41,19539.0,19489.0
42,19498.0,19452.0
43,19453.0,19417.0
44,19412.0,19368.0
45,19379.0,19317.0
46,19358.0,19277.0
47,19325.0,19250.0
48,19298.0,19211.0
49,19274.0,19188.0
50,19241.0,19152.0
51,19213.0,19127.0
52,19180.0,19100.0
53,19141.0,19070.0
54,19118.0,19047.0
55,19088.0,19030.0
56,19065.0,18999.0
57,19047.0,18976.0
58,19016.0,18947.0
59,18986.0,18927.0
60,18958.0,18911.0
61,18947.0,18882.0
62,18919.0,18864.0
63,18884.0,18835.0
64,18865.0,18819.0
65,18833.0,18803.0
66,18813.0,18778.0
67,18795.0,18753.0
68,18771.0,18733.0
69,18752.0,18713.0
70,18721.0,18697.0
71,18682.0,18688.0
72,18662.0,18673.0
73,18639.0,18661.0
74,18619.0,18641.0
75,18599.0,18620.0
76,18581.0,18594.0
77,18566.0,18579.0
78,18545.0,18568.0
79,18533.0,18550.0
80,18521.0,18537.0
81,18513.0,18521.0
82,18492.0,18513.0
83,18475.0,18496.0
84,18464.0,18486.0
85,18447.0,18471.0
86,18435.0,18458.0
87,18423.0,18437.0
88,18408.0,18424.0
89,18396.0,18402.0
90,18381.0,18390.0
91,18373.0,18378.0
92,18358.0,18367.0
93,18349.0,18353.0
94,18337.0,18345.0
95,18321.0,18335.0
96,18300.0,18318.0
97,18287.0,18306.0
98,18272.0,18290.0
99,18256.0,18277.0
100,18250.0,18266.0
101,18241.0,19943.0
102,18227.0,19013.0
103,18211.0,18812.0
104,18205.0,18704.0
105,18201.0,18615.0
106,18189.0,18560.0
107,18177.0,18494.0
108,18158.0,18448.0
109,18151.0,18414.0
110,18132.0,18381.0
111,18119.0,18353.0
112,18110.0,18328.0
113,18103.0,18302.0
114,18086.0,18276.0
115,18072.0,18249.0
116,18064.0,18229.0
117,18056.0,18197.0
118,18041.0,18176.0
119,18034.0,18158.0
120,18023.0,18145.0
121,18018.0,18128.0
122,18006.0,18119.0
123,17994.0,18091.0
124,17984.0,18071.0
125,17974.0,18058.0
126,17974.0,18042.0
127,17963.0,18027.0
128,17954.0,18006.0
129,17947.0,17996.0
130,17931.0,17983.0
131,17916.0,17966.0
132,17906.0,17947.0
133,17894.0,17938.0
134,17882.0,17927.0
135,17872.0,17915.0
136,17869.0,17904.0
137,17861.0,17895.0
138,17854.0,17888.0
139,17847.0,17877.0
140,17842.0,17854.0
141,17834.0,17838.0
142,17830.0,17823.0
143,17824.0,17817.0
144,17817.0,17810.0
145,17810.0,17802.0
146,17803.0,17788.0
147,17796.0,17784.0
148,17787.0,17776.0
149,17778.0,17766.0
150,17767.0,17758.0
151,17757.0,19587.0
152,17748.0,18626.0
153,17744.0,18380.0
154,17737.0,18260.0
155,17732.0,18173.0
156,17726.0,18114.0
157,17723.0,18051.0
158,17713.0,18020.0
159,17704.0,17984.0
160,17700.0,17956.0
161,17693.0,17919.0
162,17693.0,17889.0
163,17691.0,17867.0
164,17683.0,17832.0
165,17678.0,17807.0
166,17676.0,17790.0
167,17667.0,17779.0
168,17666.0,17771.0
169,17660.0,17757.0
170,17652.0,17739.0
171,17647.0,17720.0
172,17645.0,17708.0
173,17643.0,17700.0
174,17639.0,17684.0
175,17628.0,17670.0
176,17623.0,17659.0
177,17620.0,17643.0
178,17617.0,17633.0
179,17614.0,17617.0
180,17609.0,17608.0
181,17608.0,17596.0
182,17605.0,17588.0
183,17601.0,17575.0
184,17599.0,17566.0
185,17591.0,17558.0
186,17586.0,17543.0
187,17585.0,17539.0
188,17581.0,17531.0
189,17578.0,17522.0
190,17571.0,17515.0
191,17567.0,17510.0
192,17563.0,17502.0
193,17561.0,17497.0
194,17554.0,17490.0
195,17550.0,17472.0
196,17545.0,17468.0
197,17541.0,17461.0
198,17536.0,17458.0
199,17531.0,17448.0
200,17519.0,17442.0
201,17517.0,19339.0
202,17512.0,18346.0
203,17509.0,18127.0
204,17508.0,18012.0
205,17504.0,17938.0
206,17500.0,17896.0
207,17499.0,17868.0
208,17492.0,17833.0
209,17490.0,17803.0
210,17488.0,17771.0
211,17487.0,17742.0
212,17484.0,17720.0
213,17482.0,17703.0
214,17481.0,17684.0
215,17480.0,17661.0
216,17476.0,17644.0
