circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time,run_id
30,579.0,105.0,474.0,8.0,4.853007793426514,13
40,1028.0,294.0,734.0,10.0,69.31697201728821,4
50,1553.0,465.0,1088.0,12.0,126.34978151321413,10
60,2101.0,724.0,1377.0,14.0,218.72172498703003,6
70,2702.0,1142.0,1560.0,16.0,283.62999653816223,12
80,3287.0,1396.0,1891.0,18.0,305.1184594631195,0
90,4126.0,1999.0,2127.0,20.0,325.90921664237976,12
100,5021.0,2841.0,2180.0,22.0,463.7243599891663,6
