circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time,run_id
30,325.0,10.0,315.0,8.0,5.398279666900635,13
40,661.0,56.0,605.0,10.0,82.98680353164673,11
50,997.0,71.0,926.0,13.0,158.0577404499054,10
60,1399.0,99.0,1300.0,15.0,149.8457109928131,14
70,1776.0,147.0,1629.0,18.0,319.61998105049133,9
80,2135.0,214.0,1921.0,20.0,385.0701279640198,6
90,2469.0,239.0,2230.0,23.0,510.1038093566895,1
100,2893.0,284.0,2609.0,25.0,426.19612312316895,13
