circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,47.0,0.0,47.0,2.0,1.8513011932373047
40,87.0,0.0,87.0,2.0,3.1580374240875244
50,157.0,0.0,157.0,3.0,4.9385175704956055
60,188.0,0.0,188.0,3.0,6.9712769985198975
70,214.0,0.0,214.0,3.0,9.29613733291626
80,302.0,0.0,302.0,4.0,12.36939024925232
90,346.0,0.0,346.0,4.0,15.430187463760376
100,421.0,3.0,418.0,5.0,19.239436864852905
