circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time,run_id
30,136.0,6.0,130.0,3.0,4.5223472118377686,1
40,246.0,12.0,234.0,3.0,66.40889048576355,0
50,414.0,19.0,395.0,4.0,138.40433812141418,7
60,670.0,33.0,637.0,5.0,248.2773952484131,12
70,884.0,33.0,851.0,5.0,327.18279361724854,0
80,1043.0,50.0,993.0,6.0,450.0504586696625,8
90,1270.0,49.0,1221.0,7.0,565.6383895874023,2
100,1478.0,71.0,1407.0,8.0,538.815726518631,2
