iteration,PG_cost,PGGL_cost
265,5073.0,5046.0
266,5068.0,5035.0
267,5072.0,5035.0
268,5070.0,5028.0
269,5068.0,5022.0
270,5070.0,5019.0
271,5069.0,5013.0
272,5067.0,5007.0
273,5066.0,5006.0
274,5065.0,5007.0
275,5067.0,5006.0
276,5065.0,5007.0
277,5065.0,5006.0
278,5065.0,5003.0
279,5068.0,4997.0
280,5066.0,5001.0
281,5064.0,4987.0
282,5064.0,4984.0
283,5064.0,4985.0
284,5062.0,4989.0
285,5062.0,4978.0
286,5064.0,4974.0
287,5063.0,4974.0
288,5063.0,4971.0
289,5067.0,4972.0
290,5064.0,4971.0
291,5063.0,4964.0
292,5064.0,4963.0
293,5064.0,4963.0
294,5065.0,4959.0
295,5065.0,4958.0
296,5061.0,4955.0
297,5061.0,4957.0
298,5062.0,4959.0
299,5060.0,4953.0
300,5061.0,4955.0
301,5060.0,5629.0
302,5059.0,5225.0
303,5060.0,5139.0
304,5061.0,5093.0
305,5059.0,5071.0
306,5063.0,5064.0
307,5057.0,5048.0
308,5057.0,5031.0
309,5064.0,5019.0
310,5059.0,5014.0
311,5057.0,5005.0
312,5060.0,4997.0
313,5059.0,4997.0
314,5057.0,4992.0
315,5056.0,4982.0
316,5062.0,4981.0
317,5057.0,4978.0
318,5054.0,4976.0
319,5053.0,4973.0
320,5053.0,4968.0
321,5057.0,4968.0
322,5057.0,4963.0
323,5059.0,4962.0
324,5055.0,4964.0
325,5053.0,4956.0
326,5054.0,4955.0
327,5054.0,4948.0
328,5052.0,4948.0
329,5051.0,4945.0
330,5054.0,4947.0
331,5054.0,4939.0
332,5054.0,4941.0
333,5053.0,4939.0
334,5051.0,4939.0
335,5050.0,4934.0
336,5054.0,4926.0
337,5050.0,4926.0
338,5049.0,4923.0
339,5046.0,4921.0
340,5047.0,4918.0
341,5046.0,4915.0
342,5044.0,4917.0
343,5044.0,4912.0
344,5046.0,4913.0
345,5044.0,4912.0
346,5046.0,4905.0
347,5047.0,4901.0
348,5048.0,4898.0
349,5045.0,4894.0
350,5044.0,4897.0
351,5043.0,5561.0
352,5045.0,5178.0
353,5043.0,5084.0
354,5045.0,5049.0
355,5045.0,5029.0
356,5043.0,5019.0
357,5043.0,5021.0
358,5043.0,5003.0
359,5043.0,4987.0
360,5043.0,4978.0
361,5042.0,4970.0
362,5041.0,4967.0
363,5041.0,4952.0
364,5040.0,4947.0
365,5039.0,4939.0
366,5039.0,4937.0
367,5039.0,4935.0
368,5040.0,4932.0
369,5042.0,4928.0
370,5044.0,4924.0
371,5040.0,4927.0
372,5038.0,4922.0
373,5042.0,4920.0
374,5039.0,4918.0
375,5041.0,4918.0
376,5041.0,4915.0
377,5041.0,4914.0
378,5041.0,4912.0
379,5039.0,4909.0
380,5039.0,4904.0
381,5037.0,4908.0
382,5040.0,4901.0
383,5041.0,4904.0
384,5039.0,4898.0
385,5036.0,4896.0
386,5038.0,4894.0
387,5040.0,4891.0
388,5038.0,4884.0
389,5038.0,4884.0
390,5040.0,4882.0
391,5040.0,4881.0
392,5039.0,4877.0
393,5039.0,4874.0
394,5040.0,4872.0
395,5038.0,4872.0
396,5036.0,4871.0
397,5036.0,4870.0
398,5038.0,4869.0
399,5039.0,4873.0
400,5035.0,4868.0
401,5037.0,5571.0
402,5036.0,5175.0
403,5040.0,5063.0
404,5038.0,5037.0
405,5036.0,5012.0
406,5034.0,4993.0
407,5037.0,4981.0
408,5036.0,4968.0
409,5033.0,4955.0
410,5032.0,4950.0
