buffer_id,Buffer_times,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
1,2,1808.0,636.0,1172.0,3,7.621801853179932
2,1,1808.0,636.0,1172.0,3,7.621801853179932
3,7,1808.0,636.0,1172.0,3,7.621801853179932
4,3,1808.0,636.0,1172.0,3,7.621801853179932
5,0,1808.0,636.0,1172.0,3,7.621801853179932
6,0,1808.0,636.0,1172.0,3,7.621801853179932
7,1,1808.0,636.0,1172.0,3,7.621801853179932
8,3,1808.0,636.0,1172.0,3,7.621801853179932
9,0,1808.0,636.0,1172.0,3,7.621801853179932
10,3,1808.0,636.0,1172.0,3,7.621801853179932
11,0,1808.0,636.0,1172.0,3,7.621801853179932
12,1,1808.0,636.0,1172.0,3,7.621801853179932
13,3,1808.0,636.0,1172.0,3,7.621801853179932
14,1,1808.0,636.0,1172.0,3,7.621801853179932
15,0,1808.0,636.0,1172.0,3,7.621801853179932
16,0,1808.0,636.0,1172.0,3,7.621801853179932
17,1,1808.0,636.0,1172.0,3,7.621801853179932
18,1,1808.0,636.0,1172.0,3,7.621801853179932
19,1,1808.0,636.0,1172.0,3,7.621801853179932
20,0,1808.0,636.0,1172.0,3,7.621801853179932
21,1,1808.0,636.0,1172.0,3,7.621801853179932
22,1,1808.0,636.0,1172.0,3,7.621801853179932
23,1,1808.0,636.0,1172.0,3,7.621801853179932
24,0,1808.0,636.0,1172.0,3,7.621801853179932
25,1,1808.0,636.0,1172.0,3,7.621801853179932
26,0,1808.0,636.0,1172.0,3,7.621801853179932
27,0,1808.0,636.0,1172.0,3,7.621801853179932
28,0,1808.0,636.0,1172.0,3,7.621801853179932
29,0,1808.0,636.0,1172.0,3,7.621801853179932
30,2,1808.0,636.0,1172.0,3,7.621801853179932
31,1,1808.0,636.0,1172.0,3,7.621801853179932
32,0,1808.0,636.0,1172.0,3,7.621801853179932
33,0,1808.0,636.0,1172.0,3,7.621801853179932
34,0,1808.0,636.0,1172.0,3,7.621801853179932
35,1,1808.0,636.0,1172.0,3,7.621801853179932
36,1,1808.0,636.0,1172.0,3,7.621801853179932
37,4,1808.0,636.0,1172.0,3,7.621801853179932
38,0,1808.0,636.0,1172.0,3,7.621801853179932
39,1,1808.0,636.0,1172.0,3,7.621801853179932
40,1,1808.0,636.0,1172.0,3,7.621801853179932
41,0,1808.0,636.0,1172.0,3,7.621801853179932
42,1,1808.0,636.0,1172.0,3,7.621801853179932
43,0,1808.0,636.0,1172.0,3,7.621801853179932
44,0,1808.0,636.0,1172.0,3,7.621801853179932
45,0,1808.0,636.0,1172.0,3,7.621801853179932
46,6,1808.0,636.0,1172.0,3,7.621801853179932
47,1,1808.0,636.0,1172.0,3,7.621801853179932
48,0,1808.0,636.0,1172.0,3,7.621801853179932
49,1,1808.0,636.0,1172.0,3,7.621801853179932
50,0,1808.0,636.0,1172.0,3,7.621801853179932
51,0,1808.0,636.0,1172.0,3,7.621801853179932
52,0,1808.0,636.0,1172.0,3,7.621801853179932
53,0,1808.0,636.0,1172.0,3,7.621801853179932
54,0,1808.0,636.0,1172.0,3,7.621801853179932
55,1,1808.0,636.0,1172.0,3,7.621801853179932
56,0,1808.0,636.0,1172.0,3,7.621801853179932
57,1,1808.0,636.0,1172.0,3,7.621801853179932
58,1,1808.0,636.0,1172.0,3,7.621801853179932
59,1,1808.0,636.0,1172.0,3,7.621801853179932
60,1,1808.0,636.0,1172.0,3,7.621801853179932
61,1,1808.0,636.0,1172.0,3,7.621801853179932
62,1,1808.0,636.0,1172.0,3,7.621801853179932
63,1,1808.0,636.0,1172.0,3,7.621801853179932
64,1,1808.0,636.0,1172.0,3,7.621801853179932
65,0,1808.0,636.0,1172.0,3,7.621801853179932
66,0,1808.0,636.0,1172.0,3,7.621801853179932
67,0,1808.0,636.0,1172.0,3,7.621801853179932
68,0,1808.0,636.0,1172.0,3,7.621801853179932
69,1,1808.0,636.0,1172.0,3,7.621801853179932
70,0,1808.0,636.0,1172.0,3,7.621801853179932
71,0,1808.0,636.0,1172.0,3,7.621801853179932
72,0,1808.0,636.0,1172.0,3,7.621801853179932
73,1,1808.0,636.0,1172.0,3,7.621801853179932
74,1,1808.0,636.0,1172.0,3,7.621801853179932
75,1,1808.0,636.0,1172.0,3,7.621801853179932
76,0,1808.0,636.0,1172.0,3,7.621801853179932
77,0,1808.0,636.0,1172.0,3,7.621801853179932
78,0,1808.0,636.0,1172.0,3,7.621801853179932
79,1,1808.0,636.0,1172.0,3,7.621801853179932
80,0,1808.0,636.0,1172.0,3,7.621801853179932
81,0,1808.0,636.0,1172.0,3,7.621801853179932
82,0,1808.0,636.0,1172.0,3,7.621801853179932
83,1,1808.0,636.0,1172.0,3,7.621801853179932
84,1,1808.0,636.0,1172.0,3,7.621801853179932
85,6,1808.0,636.0,1172.0,3,7.621801853179932
86,0,1808.0,636.0,1172.0,3,7.621801853179932
87,0,1808.0,636.0,1172.0,3,7.621801853179932
88,0,1808.0,636.0,1172.0,3,7.621801853179932
89,0,1808.0,636.0,1172.0,3,7.621801853179932
90,0,1808.0,636.0,1172.0,3,7.621801853179932
91,1,1808.0,636.0,1172.0,3,7.621801853179932
92,1,1808.0,636.0,1172.0,3,7.621801853179932
93,1,1808.0,636.0,1172.0,3,7.621801853179932
94,0,1808.0,636.0,1172.0,3,7.621801853179932
95,0,1808.0,636.0,1172.0,3,7.621801853179932
96,0,1808.0,636.0,1172.0,3,7.621801853179932
97,1,1808.0,636.0,1172.0,3,7.621801853179932
98,1,1808.0,636.0,1172.0,3,7.621801853179932
99,1,1808.0,636.0,1172.0,3,7.621801853179932
100,1,1808.0,636.0,1172.0,3,7.621801853179932
101,1,1808.0,636.0,1172.0,3,7.621801853179932
102,1,1808.0,636.0,1172.0,3,7.621801853179932
103,1,1808.0,636.0,1172.0,3,7.621801853179932
104,3,1808.0,636.0,1172.0,3,7.621801853179932
105,0,1808.0,636.0,1172.0,3,7.621801853179932
106,0,1808.0,636.0,1172.0,3,7.621801853179932
107,1,1808.0,636.0,1172.0,3,7.621801853179932
108,0,1808.0,636.0,1172.0,3,7.621801853179932
109,1,1808.0,636.0,1172.0,3,7.621801853179932
110,0,1808.0,636.0,1172.0,3,7.621801853179932
111,3,1808.0,636.0,1172.0,3,7.621801853179932
112,1,1808.0,636.0,1172.0,3,7.621801853179932
113,1,1808.0,636.0,1172.0,3,7.621801853179932
114,0,1808.0,636.0,1172.0,3,7.621801853179932
115,0,1808.0,636.0,1172.0,3,7.621801853179932
116,0,1808.0,636.0,1172.0,3,7.621801853179932
117,0,1808.0,636.0,1172.0,3,7.621801853179932
118,1,1808.0,636.0,1172.0,3,7.621801853179932
119,6,1808.0,636.0,1172.0,3,7.621801853179932
120,0,1808.0,636.0,1172.0,3,7.621801853179932
121,1,1808.0,636.0,1172.0,3,7.621801853179932
122,0,1808.0,636.0,1172.0,3,7.621801853179932
123,0,1808.0,636.0,1172.0,3,7.621801853179932
124,1,1808.0,636.0,1172.0,3,7.621801853179932
125,1,1808.0,636.0,1172.0,3,7.621801853179932
126,0,1808.0,636.0,1172.0,3,7.621801853179932
127,0,1808.0,636.0,1172.0,3,7.621801853179932
128,1,1808.0,636.0,1172.0,3,7.621801853179932
129,1,1808.0,636.0,1172.0,3,7.621801853179932
130,0,1808.0,636.0,1172.0,3,7.621801853179932
131,1,1808.0,636.0,1172.0,3,7.621801853179932
132,1,1808.0,636.0,1172.0,3,7.621801853179932
133,0,1808.0,636.0,1172.0,3,7.621801853179932
134,0,1808.0,636.0,1172.0,3,7.621801853179932
135,0,1808.0,636.0,1172.0,3,7.621801853179932
136,0,1808.0,636.0,1172.0,3,7.621801853179932
137,0,1808.0,636.0,1172.0,3,7.621801853179932
138,1,1808.0,636.0,1172.0,3,7.621801853179932
139,1,1808.0,636.0,1172.0,3,7.621801853179932
140,0,1808.0,636.0,1172.0,3,7.621801853179932
141,5,1808.0,636.0,1172.0,3,7.621801853179932
142,0,1808.0,636.0,1172.0,3,7.621801853179932
143,0,1808.0,636.0,1172.0,3,7.621801853179932
144,0,1808.0,636.0,1172.0,3,7.621801853179932
145,1,1808.0,636.0,1172.0,3,7.621801853179932
146,3,1808.0,636.0,1172.0,3,7.621801853179932
147,1,1808.0,636.0,1172.0,3,7.621801853179932
148,1,1808.0,636.0,1172.0,3,7.621801853179932
149,0,1808.0,636.0,1172.0,3,7.621801853179932
150,1,1808.0,636.0,1172.0,3,7.621801853179932
151,1,1808.0,636.0,1172.0,3,7.621801853179932
152,0,1808.0,636.0,1172.0,3,7.621801853179932
153,1,1808.0,636.0,1172.0,3,7.621801853179932
154,0,1808.0,636.0,1172.0,3,7.621801853179932
155,0,1808.0,636.0,1172.0,3,7.621801853179932
156,0,1808.0,636.0,1172.0,3,7.621801853179932
157,0,1808.0,636.0,1172.0,3,7.621801853179932
158,0,1808.0,636.0,1172.0,3,7.621801853179932
159,0,1808.0,636.0,1172.0,3,7.621801853179932
160,1,1808.0,636.0,1172.0,3,7.621801853179932
161,0,1808.0,636.0,1172.0,3,7.621801853179932
162,7,1808.0,636.0,1172.0,3,7.621801853179932
163,2,1808.0,636.0,1172.0,3,7.621801853179932
164,1,1808.0,636.0,1172.0,3,7.621801853179932
165,0,1808.0,636.0,1172.0,3,7.621801853179932
166,0,1808.0,636.0,1172.0,3,7.621801853179932
167,0,1808.0,636.0,1172.0,3,7.621801853179932
168,3,1808.0,636.0,1172.0,3,7.621801853179932
169,0,1808.0,636.0,1172.0,3,7.621801853179932
170,0,1808.0,636.0,1172.0,3,7.621801853179932
171,3,1808.0,636.0,1172.0,3,7.621801853179932
172,0,1808.0,636.0,1172.0,3,7.621801853179932
173,0,1808.0,636.0,1172.0,3,7.621801853179932
174,0,1808.0,636.0,1172.0,3,7.621801853179932
175,3,1808.0,636.0,1172.0,3,7.621801853179932
176,1,1808.0,636.0,1172.0,3,7.621801853179932
177,1,1808.0,636.0,1172.0,3,7.621801853179932
178,0,1808.0,636.0,1172.0,3,7.621801853179932
179,4,1808.0,636.0,1172.0,3,7.621801853179932
180,3,1808.0,636.0,1172.0,3,7.621801853179932
181,0,1808.0,636.0,1172.0,3,7.621801853179932
182,0,1808.0,636.0,1172.0,3,7.621801853179932
183,1,1808.0,636.0,1172.0,3,7.621801853179932
184,0,1808.0,636.0,1172.0,3,7.621801853179932
185,2,1808.0,636.0,1172.0,3,7.621801853179932
186,5,1808.0,636.0,1172.0,3,7.621801853179932
187,0,1808.0,636.0,1172.0,3,7.621801853179932
188,0,1808.0,636.0,1172.0,3,7.621801853179932
189,1,1808.0,636.0,1172.0,3,7.621801853179932
190,0,1808.0,636.0,1172.0,3,7.621801853179932
191,1,1808.0,636.0,1172.0,3,7.621801853179932
192,1,1808.0,636.0,1172.0,3,7.621801853179932
193,0,1808.0,636.0,1172.0,3,7.621801853179932
194,0,1808.0,636.0,1172.0,3,7.621801853179932
195,1,1808.0,636.0,1172.0,3,7.621801853179932
196,0,1808.0,636.0,1172.0,3,7.621801853179932
197,1,1808.0,636.0,1172.0,3,7.621801853179932
198,0,1808.0,636.0,1172.0,3,7.621801853179932
199,3,1808.0,636.0,1172.0,3,7.621801853179932
200,1,1808.0,636.0,1172.0,3,7.621801853179932
201,4,1808.0,636.0,1172.0,3,7.621801853179932
202,0,1808.0,636.0,1172.0,3,7.621801853179932
