circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,47.0,0.0,47.0,2.0,3.891305446624756
40,82.0,0.0,82.0,2.0,6.656915903091431
50,238.0,4.0,234.0,3.0,16.988036155700684
60,267.0,3.0,264.0,3.0,30.44490361213684
70,370.0,2.0,368.0,3.0,247.5522379875183
80,534.0,15.0,519.0,4.0,452.28482127189636
90,619.0,24.0,595.0,4.0,562.6708817481995
100,835.0,27.0,808.0,5.0,622.8183436393738
