circuit_size,mean_y_local_reg,mean_telegate_cost,mean_teledata_cost,mean_num_qpu,mean_time
30,46.333333333333336,0.16666666666666666,46.166666666666664,2.0,3.9823773437076144
40,85.94444444444444,0.0,85.94444444444444,2.0,6.697758913040161
50,235.16666666666666,6.277777777777778,228.88888888888889,3.0,13.851381063461304
60,269.5,4.555555555555555,264.94444444444446,3.0,34.49410802788205
70,377.8888888888889,7.5,370.3888888888889,3.0,120.45492759015825
80,542.2777777777778,20.333333333333332,521.9444444444445,4.0,368.19578884707556
90,613.9444444444445,17.666666666666668,596.2777777777778,4.0,563.7313057316674
100,834.1111111111111,31.0,803.1111111111111,5.0,652.4770711395475
