circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time,run_id
30,45.0,0.0,45.0,2.0,4.037148952484131,5
40,82.0,0.0,82.0,2.0,6.656915903091431,0
50,212.0,2.0,210.0,3.0,15.583954095840454,8
60,247.0,3.0,244.0,3.0,21.736260890960693,14
70,335.0,0.0,335.0,3.0,70.28332686424255,11
80,512.0,20.0,492.0,4.0,435.0559198856354,2
90,574.0,4.0,570.0,4.0,566.5002248287201,3
100,791.0,21.0,770.0,5.0,605.4918785095215,12
