circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,17755.0,8879.0,8876.0,60.0,458.7838685512543
40,31539.0,15914.0,15625.0,80.0,816.6253445148468
50,48307.0,24904.0,23403.0,100.0,1283.6572816371918
60,67718.0,35117.0,32601.0,120.0,1855.0077481269836
70,89438.0,47323.0,42115.0,140.0,2529.868344783783
80,112872.0,61850.0,51022.0,160.0,3314.315620660782
90,139628.0,76992.0,62636.0,180.0,4206.622283935547
100,168035.0,94297.0,73738.0,200.0,5182.892740249634
