circuit_size,mean_y_local_reg,mean_telegate_cost,mean_teledata_cost,mean_num_qpu,mean_time
30,46.27777777777778,0.0,46.27777777777778,2.0,9.548719300164116
40,85.33333333333333,0.3333333333333333,85.0,2.0,16.605348719490898
50,158.77777777777777,0.2777777777777778,158.5,3.0,29.834870603349472
60,190.16666666666666,0.8888888888888888,189.27777777777777,3.0,71.7592589325375
70,214.33333333333334,1.0,213.33333333333334,3.0,276.6654002931383
80,301.55555555555554,0.6111111111111112,300.94444444444446,4.0,440.3505147827996
90,347.6111111111111,0.8888888888888888,346.72222222222223,4.0,540.5680698421266
100,422.8333333333333,1.3888888888888888,421.44444444444446,5.0,597.4982917308807
