circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,5135.0,3010.0,2125.0,10.0,87.54202508926392
40,9331.0,5772.0,3559.0,14.0,168.62299370765686
50,14873.0,8794.0,6079.0,17.0,252.17875623703003
60,22345.0,13644.0,8701.0,20.0,372.3943762779236
70,30028.0,19125.0,10903.0,24.0,509.0150349140167
80,39700.0,25477.0,14223.0,27.0,689.9790647029877
90,50159.0,32074.0,18085.0,30.0,858.9744827747345
100,62819.0,40281.0,22538.0,34.0,1071.5665338039398
