circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,261.0,2.0,259.0,8.0,24.743041038513184
40,432.0,2.0,430.0,10.0,134.39316487312317
50,667.0,6.0,661.0,13.0,198.48400163650513
60,873.0,12.0,861.0,15.0,302.7169086933136
70,1110.0,8.0,1102.0,18.0,233.51939463615417
80,1318.0,18.0,1300.0,20.0,511.2431380748749
90,1549.0,17.0,1532.0,23.0,341.1656439304352
100,1760.0,15.0,1745.0,25.0,169.1539831161499
