circuit_size,mean_y_local_reg,mean_telegate_cost,mean_teledata_cost,mean_num_qpu,mean_time
30,146.88888888888889,49.166666666666664,97.72222222222223,2.0,8.495533267656961
40,387.22222222222223,119.05555555555556,268.1666666666667,2.0,16.58535959985521
50,810.5,426.05555555555554,384.44444444444446,2.0,21.4336834748586
60,1282.5,448.72222222222223,833.7777777777778,3.0,24.54104631476932
70,1778.0,618.0,1160.0,3.0,29.304017305374146
80,2677.6666666666665,976.0555555555555,1701.611111111111,4.0,35.52909526560042
90,3425.222222222222,1140.888888888889,2284.3333333333335,4.0,35.26380919085609
100,5155.833333333333,2775.0,2380.8333333333335,4.0,56.07456624507904
