circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,7497.0,2959.0,4538.0,18.0,79.68836069107056
40,13410.0,5644.0,7766.0,23.0,149.0227861404419
50,20664.0,8608.0,12056.0,29.0,223.38636875152588
60,31294.0,13314.0,17980.0,35.0,341.6400218009949
70,42360.0,18723.0,23637.0,40.0,466.5731484889984
80,56446.0,24723.0,31723.0,46.0,630.8232250213623
90,70574.0,30665.0,39909.0,52.0,783.8444793224335
100,88567.0,39021.0,49546.0,58.0,973.5075256824493
