circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,98.0,4.0,94.0,3.0,3.9090709686279297
40,140.0,1.0,139.0,3.0,20.077239274978638
50,241.0,4.0,237.0,4.0,44.24290370941162
60,341.0,17.0,324.0,5.0,64.73836040496826
70,395.0,18.0,377.0,5.0,86.18058848381042
80,514.0,31.0,483.0,6.0,114.92446231842041
90,601.0,20.0,581.0,7.0,146.63784766197205
100,727.0,57.0,670.0,7.0,181.5167214870453
