circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time,run_id
30,92.0,0.0,92.0,3.0,4.085508823394775,3
40,131.0,0.0,131.0,3.0,87.99062871932983,4
50,234.0,1.0,233.0,4.0,184.67273712158203,1
60,329.0,9.0,320.0,5.0,262.55880331993103,9
70,379.0,6.0,373.0,5.0,349.82904171943665,11
80,473.0,6.0,467.0,6.0,465.0967671871185,2
90,590.0,32.0,558.0,7.0,456.15370869636536,0
100,641.0,22.0,619.0,7.0,638.920000076294,4
